row,col,satin,gilded_threads,artisans_vision,best_key,best_pct,ocr_text
1,1,77.3%,81.1%,73.2%,gilded_threads,81.1%,""
1,2,82.2%,77.1%,73.9%,satin,82.2%,""
1,3,82.1%,77.1%,73.9%,satin,82.1%,""
1,4,82.6%,77.0%,74.2%,satin,82.6%,""
2,1,82.3%,76.9%,74.5%,satin,82.3%,""
2,2,72.9%,73.0%,81.7%,artisans_vision,81.7%,""
2,3,72.6%,73.5%,82.1%,artisans_vision,82.1%,""
2,4,79.2%,73.9%,77.4%,satin,79.2%,""
3,1,78.7%,80.2%,74.7%,gilded_threads,80.2%,""
3,2,73.4%,73.4%,82.7%,artisans_vision,82.7%,""
3,3,82.9%,76.0%,75.1%,satin,82.9%,""
3,4,77.6%,81.6%,74.4%,gilded_threads,81.6%,""
4,1,73.3%,73.7%,85.5%,artisans_vision,85.5%,""
4,2,73.3%,73.7%,83.5%,artisans_vision,83.5%,""
4,3,73.1%,73.6%,83.0%,artisans_vision,83.0%,""
4,4,78.9%,82.1%,74.7%,gilded_threads,82.1%,""
5,1,73.0%,73.8%,83.1%,artisans_vision,83.1%,""
5,2,72.5%,72.8%,83.0%,artisans_vision,83.0%,""
5,3,81.1%,76.5%,74.2%,satin,81.1%,""
5,4,81.9%,75.9%,74.1%,satin,81.9%,""
6,1,81.6%,76.1%,73.0%,satin,81.6%,""
6,2,74.7%,73.7%,83.3%,artisans_vision,83.3%,""
6,3,77.0%,80.8%,73.6%,gilded_threads,80.8%,""
6,4,81.2%,76.2%,74.3%,satin,81.2%,""
